in_area_short,in_cnt
11110,4
11140,5
11170,3
11200,10
11215,20
11230,13
11260,7
11290,15
11305,11
11320,7
11350,20
11380,21
11410,10
11440,9
11470,6
11500,18
11530,12
11545,9
11560,23
11590,22
11620,32
11650,13
11680,23
11710,19
11740,7
26110,1
26140,9
26170,5
26200,3
26230,34
26260,18
26290,33
26320,19
26350,25
26380,17
26410,28
26440,10
26470,17
26500,14
26530,19
26710,19
27110,107
27140,672
27170,97
27200,143
27230,361
27260,390
27290,338
27710,132
27720,11
28110,6
28140,2
28177,18
28185,21
28200,19
28237,7
28245,5
28260,23
28720,2
29110,1
29140,6
29155,3
29170,6
29200,7
30110,15
30140,14
30170,23
30200,32
30230,5
31110,42
31140,60
31170,41
31200,59
31710,45
36110,31
41111,2
41113,13
41115,8
41117,15
41131,3
41133,4
41135,14
41150,9
41171,6
41173,8
41190,28
41210,11
41220,37
41250,1
41271,5
41273,11
41281,17
41285,10
41287,7
41290,1
41310,1
41360,15
41370,14
41390,11
41410,5
41430,2
41450,7
41461,21
41463,22
41465,13
41480,28
41500,20
41550,10
41570,11
41590,38
41610,12
41630,11
41650,11
41670,8
41800,6
41820,2
41830,2
43111,4
43112,9
43113,17
43114,9
43130,12
43150,8
43720,2
43730,4
43740,10
43745,4
43750,2
43760,1
43770,6
43800,2
44131,18
44133,26
44150,6
44180,6
44200,20
44210,6
44230,6
44250,10
44270,9
44710,1
44760,2
44770,4
44790,2
44800,6
44810,4
44825,4
45111,6
45113,6
45130,9
45140,2
45180,2
45190,3
45710,2
45720,1
45730,3
46110,1
46130,6
46150,6
46170,3
46230,5
46720,1
46780,1
46810,1
46830,1
46840,1
46860,1
46870,4
46880,8
46890,2
46910,1
47111,131
47113,126
47130,234
47150,41
47170,74
47190,179
47210,30
47250,18
47280,21
47290,1107
47720,4
47730,34
47750,30
47760,7
47770,12
47820,20
47830,18
47840,22
47850,51
47900,19
47920,5
47930,20
47940,17
48121,22
48123,11
48125,12
48127,9
48129,24
48170,18
48220,3
48240,6
48250,54
48270,22
48310,18
48330,58
48720,4
48730,7
48740,9
48820,2
48840,2
48850,2
48860,1
48870,1
48880,5
48890,10
50110,10
50130,13
51110,11
51130,19
51150,9
51170,4
51190,1
51210,3
51230,5
51720,7
51730,2
51750,3
51760,3
51780,7
51790,4
51800,9
51810,17
51820,4
