state,region,school_lavel,number_of_school
대구광역시,중구,고등학교,4
대구광역시,중구,중학교,5
대구광역시,중구,초등학교,10
대구광역시,동구,각종학교,1
대구광역시,동구,고등학교,11
대구광역시,동구,중학교,13
대구광역시,동구,초등학교,33
대구광역시,서구,각종학교,1
대구광역시,서구,고등학교,6
대구광역시,서구,중학교,8
대구광역시,서구,초등학교,17
대구광역시,수성구,각종학교,1
대구광역시,수성구,고등학교,17
대구광역시,수성구,중학교,23
대구광역시,수성구,초등학교,34
대구광역시,달서구,각종학교,2
대구광역시,달서구,고등학교,25
대구광역시,달서구,중학교,28
대구광역시,달서구,초등학교,56
대구광역시,북구,각종학교,1
대구광역시,북구,고등학교,18
대구광역시,북구,중학교,22
대구광역시,북구,초등학교,40
대구광역시,군위군,고등학교,2
대구광역시,군위군,중학교,5
대구광역시,군위군,초등학교,8
대구광역시,달성군,각종학교,1
대구광역시,달성군,고등학교,12
대구광역시,달성군,중학교,19
대구광역시,달성군,초등학교,33
대구광역시,남구,각종학교,5
대구광역시,남구,고등학교,8
대구광역시,남구,중학교,7
대구광역시,남구,초등학교,11
경상북도,포항시,유치원,102
경상북도,포항시,중학교,35
경상북도,포항시,초등학교,68
경상북도,경주시,유치원,51
경상북도,경주시,중학교,20
경상북도,경주시,초등학교,43
경상북도,김천시,유치원,29
경상북도,김천시,중학교,15
경상북도,김천시,초등학교,29
경상북도,안동시,유치원,38
경상북도,안동시,중학교,13
경상북도,안동시,초등학교,33
경상북도,구미시,유치원,86
경상북도,구미시,중학교,28
경상북도,구미시,초등학교,52
경상북도,영주시,유치원,21
경상북도,영주시,중학교,11
경상북도,영주시,초등학교,19
경상북도,영천시,유치원,20
경상북도,영천시,중학교,12
경상북도,영천시,초등학교,20
경상북도,상주시,유치원,30
경상북도,상주시,중학교,17
경상북도,상주시,초등학교,31
경상북도,문경시,유치원,19
경상북도,문경시,중학교,9
경상북도,문경시,초등학교,20
경상북도,경산시,유치원,50
경상북도,경산시,중학교,15
경상북도,경산시,초등학교,31
경상북도,의성군,유치원,12
경상북도,의성군,중학교,10
경상북도,의성군,초등학교,17
경상북도,청송군,유치원,8
경상북도,청송군,중학교,9
경상북도,청송군,초등학교,8
경상북도,영양군,유치원,7
경상북도,영양군,중학교,4
경상북도,영양군,초등학교,7
경상북도,영덕군,유치원,7
경상북도,영덕군,중학교,8
경상북도,영덕군,초등학교,11
경상북도,청도군,유치원,11
경상북도,청도군,중학교,6
경상북도,청도군,초등학교,11
경상북도,고령군,유치원,7
경상북도,고령군,중학교,6
경상북도,고령군,초등학교,9
경상북도,성주군,유치원,11
경상북도,성주군,중학교,8
경상북도,성주군,초등학교,13
경상북도,칠곡군,유치원,27
경상북도,칠곡군,중학교,11
경상북도,칠곡군,초등학교,21
경상북도,예천군,유치원,14
경상북도,예천군,중학교,9
경상북도,예천군,초등학교,12
경상북도,봉화군,유치원,13
경상북도,봉화군,중학교,7
경상북도,봉화군,초등학교,15
경상북도,울진군,유치원,11
경상북도,울진군,중학교,8
경상북도,울진군,초등학교,16
경상북도,울릉군,유치원,5
경상북도,울릉군,중학교,1
경상북도,울릉군,초등학교,4
경상북도,포항시,각종학교,2
경상북도,포항시,고등학교,27
경상북도,경주시,각종학교,1
경상북도,경주시,고등학교,19
경상북도,김천시,고등학교,11
경상북도,안동시,각종학교,2
경상북도,안동시,고등학교,13
경상북도,구미시,각종학교,1
경상북도,구미시,고등학교,21
경상북도,영주시,고등학교,9
경상북도,영천시,각종학교,1
경상북도,영천시,고등학교,9
경상북도,영천시,중학교,2
경상북도,상주시,각종학교,1
경상북도,상주시,고등학교,10
경상북도,문경시,각종학교,1
경상북도,문경시,고등학교,6
경상북도,경산시,각종학교,1
경상북도,경산시,고등학교,13
경상북도,경산시,중학교,1
경상북도,의성군,고등학교,6
경상북도,청송군,고등학교,5
경상북도,영양군,고등학교,3
경상북도,영덕군,고등학교,4
경상북도,청도군,고등학교,5
경상북도,고령군,고등학교,2
경상북도,성주군,고등학교,3
경상북도,칠곡군,고등학교,7
경상북도,예천군,고등학교,3
경상북도,봉화군,고등학교,3
경상북도,울진군,고등학교,5
경상북도,울릉군,고등학교,1
