District,Houses_per_10k_people,Total_Houses,Detached_House_Single,Detached_House_Multi,Apartments,Row_Houses,Multi_Household_Houses
동구,3850,131991,8459,9467,99077,2262,12726
남구,2958,41176,6039,8474,20591,559,5513
북구,3538,148472,5216,9240,126063,1761,6192
수성구,3380,137682,4240,10851,114379,1388,6824
달서구,3439,181508,1827,12641,159680,1216,6144
달성군,3901,102248,9360,1461,88700,663,2064
포항시,3990,196762,31732,9244,135755,8623,11408
경주시,4315,106816,39043,4166,53825,3542,6240
구미시,3653,148167,14381,7318,113843,3714,8911
영천시,4453,44626,21179,698,20661,936,1152
경산시,3785,100759,15380,4109,77000,1019,3251
