지역별,건설업,광업.제조업,도소매ㆍ음식숙박업,사업ㆍ개인ㆍ공공서비스업,전기ㆍ운수ㆍ통신ㆍ금융업,전산업
경상북도 경산시,4574,31532,12727,37755,5507,92095
경상북도 경주시,4803,38583,13449,36313,7150,100296
경상북도 구미시,7574,83219,16857,48396,8740,164786
경상북도 영천시,3255,15735,3842,14074,1657,38562
경상북도 포항시,16407,39927,23216,76634,15043,171227
대구광역시 남구,2568,887,5935,31432,3001,43823
대구광역시 달서구,8540,46150,26692,70743,13412,165538
대구광역시 달성군,3766,44447,11060,28168,4171,91611
대구광역시 동구,9795,6034,21529,43180,11893,92431
대구광역시 북구,5989,21225,29299,58762,8178,123452
대구광역시 수성구,12169,1859,20937,59842,12587,107395
